m/z Exp,Intensity,Chemical Formula,m/z Calc,ppm,ionType,DBE,#C,#H,#O,#N,H/C,O/C
259.08124,810748,C11H14O7,259.081231,-0.034738138,adduct,4.5,11,15,7,0,1.363636364,0.636363636
271.08122,3080155,C12H14O7,271.081231,0.040578245,adduct,5.5,12,15,7,0,1.25,0.583333333
289.09178,4624053,C12H16O8,289.091796,0.055345745,adduct,4.5,12,17,8,0,1.416666667,0.666666667
307.10235,1234807,C12H18O9,307.102361,0.035818677,adduct,3.5,12,19,9,0,1.583333333,0.75
325.11298,68454480,C12H20O10,325.112926,-0.166096106,adduct,2.5,12,21,10,0,1.75,0.833333333
331.08124,644342,C17H14O7,331.081231,-0.02718366,adduct,10.5,17,15,7,0,0.882352941,0.411764706
331.10236,1776118,C14H18O9,331.102361,0.003020214,adduct,5.5,14,19,9,0,1.357142857,0.642857143
333.0969,676699,C17H16O7,333.096881,-0.057040459,adduct,9.5,17,17,7,0,1,0.411764706
335.09725,1721793,C13H18O10,335.097276,0.077589416,adduct,4.5,13,19,10,0,1.461538462,0.769230769
337.09183,1334696,C16H16O8,337.091796,-0.100862723,adduct,8.5,16,17,8,0,1.0625,0.5
337.11296,915367,C13H20O10,337.112926,-0.100856401,adduct,3.5,13,21,10,0,1.615384615,0.769230769
339.10747,750863,C16H18O8,339.107446,-0.070774023,adduct,7.5,16,19,8,0,1.1875,0.5
342.13948,8896366,C12H20O10,342.139475,-0.014613923,adduct,1.5,12,24,10,1,2,0.833333333
343.10237,979299,C15H18O9,343.102361,-0.026231238,adduct,6.5,15,19,9,0,1.266666667,0.6
349.09182,1234476,C17H16O8,349.091796,-0.06874982,adduct,9.5,17,17,8,0,1,0.470588235
349.11295,1548075,C14H20O10,349.112926,-0.06874566,adduct,4.5,14,21,10,0,1.5,0.714285714
351.10743,959004,C17H18O8,351.107446,0.045570098,adduct,8.5,17,19,8,0,1.117647059,0.470588235
355.10238,1189121,C16H18O9,355.102361,-0.053505696,adduct,7.5,16,19,9,0,1.1875,0.5625
361.11293,691430,C15H20O10,361.112926,-0.011076867,adduct,5.5,15,21,10,0,1.4,0.666666667
367.10235,1298138,C17H18O9,367.102361,0.029964396,adduct,8.5,17,19,9,0,1.117647059,0.529411765
367.12348,1138650,C14H22O11,367.123491,0.029962671,adduct,3.5,14,23,11,0,1.642857143,0.785714286
369.11805,608985,C17H20O9,369.118011,-0.105657255,adduct,7.5,17,21,9,0,1.235294118,0.529411765
373.11293,1487068,C16H20O10,373.112926,-0.010720615,adduct,6.5,16,21,10,0,1.3125,0.625
379.10235,632939,C18H18O9,379.102361,0.029015911,adduct,9.5,18,19,9,0,1.055555556,0.5
385.1129,1147396,C17H20O10,385.112926,0.06751267,adduct,7.5,17,21,10,0,1.235294118,0.588235294
391.12348,738344,C16H22O11,391.123491,0.028124111,adduct,5.5,16,23,11,0,1.4375,0.6875
397.1129,1324372,C18H20O10,397.112926,0.065472565,adduct,8.5,18,21,10,0,1.166666667,0.555555556
403.12351,25962376,C17H22O11,403.123491,-0.047131957,adduct,6.5,17,23,11,0,1.352941176,0.647058824
405.13911,2992027,C17H24O11,405.139141,0.076516928,adduct,5.5,17,25,11,0,1.470588235,0.647058824
409.13405,1144257,C16H24O12,409.134056,0.01466512,adduct,4.5,16,25,12,0,1.5625,0.75
