m/z, I
127.03897, 1216228
130.04604, 527724
130.04646, 308428
143.03388, 1062022
145.04953, 7002631
146.05288, 464326
149.05970, 233951
151.03896, 320231
151.07535, 159431
153.05462, 351494
157.04954, 265334
161.04444, 201685
161.05971, 323477
161.25074, 179349
162.55647, 196461
162.55711, 393861
162.55780, 191893
163.03897, 409317
163.06010, 2257413
163.07535, 251637
165.05462, 476260
167.07027, 350819
169.04953, 785155
171.06518, 196786
173.04444, 466017
175.03896, 169951
175.07536, 258783
177.05463, 768830
179.07027, 516668
181.04953, 485435
181.08592, 185131
183.06518, 347929
187.06010, 1220214
187.66387, 178517
189.05462, 477044
191.07026, 638002
193.04954, 1162607
193.08592, 310031
194.86828, 337709
194.86923, 189069
195.06518, 565933
197.08083, 244907
199.06010, 634536
201.05462, 228998
201.07575, 194502
201.09101, 162406
203.05501, 180324
203.07027, 404195
205.04954, 804449
205.07066, 1000929
205.08592, 308993
207.06517, 1152606
209.08084, 429340
211.06010, 938073
213.07574, 390614
215.05501, 210323
215.07027, 273939
217.04953, 421840
217.07067, 679504
217.08593, 299280
219.06519, 718029
221.04445, 184554
221.08084, 466058
223.06011, 1948360
224.06345, 218054
225.07576, 987589
227.05500, 162241
227.07027, 251265
227.09142, 305729
229.07067, 2063807
229.08592, 313278
230.07402, 239837
231.06520, 336123
231.08631, 529723
231.10156, 212219
233.06558, 391160
233.08085, 368312
233.27755, 168696
235.06009, 1451701
235.09650, 190837
236.06344, 190164
237.07577, 800434
239.05503, 196591
239.09139, 249647
241.07067, 3855020
241.07115, 261804
241.08593, 294700
242.07403, 430123
243.06521, 345385
243.08632, 1159081
243.10156, 232457
243.58437, 260360
245.06558, 206886
245.08083, 363558
245.10196, 244390
247.06011, 188771
247.08123, 1788323
247.09649, 258531
248.08459, 202786
249.07575, 283680
251.05502, 286045
251.09141, 196765
253.07068, 3326107
253.07122, 227866
253.08593, 247770
254.07463, 280601
255.06519, 256856
255.08634, 1144728
255.10160, 283864
256.08969, 157846
257.06558, 402837
257.08084, 509333
257.10197, 241173
257.24750, 292373
258.07339, 177715
259.06011, 249490
259.08122, 4304018
259.08179, 282770
259.09647, 376914
259.69094, 375121
259.69266, 244113
260.08460, 537745
261.07575, 301455
261.09686, 439183
261.11211, 165423
263.09142, 270541
265.07067, 202634
265.08593, 202538
265.09181, 853386
265.10707, 162346
267.06518, 217992
267.08630, 291527
267.10156, 241735
269.06558, 576773
269.08085, 445317
269.11724, 192389
270.07342, 174948
271.06010, 267331
271.08123, 8952963
271.09649, 467843
272.08460, 1182081
273.07576, 465408
273.09690, 1040512
273.11215, 297920
275.07615, 297214
275.09142, 403902
277.07065, 215740
277.09178, 677500
277.10703, 229372
279.08630, 281018
279.10157, 228794
281.08084, 351992
281.10197, 206648
281.11722, 172344
283.06011, 209462
283.08124, 404854
283.09650, 416374
285.07577, 497268
285.09688, 357748
285.11213, 292212
286.06356, 263411
287.07616, 1002354
287.09142, 541042
288.08398, 237681
289.07067, 220209
289.09179, 8713329
289.10706, 336561
290.09495, 1358128
290.09697, 612720
291.08632, 319919
291.10157, 186383
291.10744, 449775
293.08085, 255982
293.10194, 249582
293.11719, 189422
295.08124, 434285
295.09650, 369901
295.10237, 1028461
297.07578, 385387
297.09692, 399211
297.11217, 306603
299.07615, 244010
299.09141, 544746
299.11252, 220138
299.12779, 191338
301.07066, 362602
301.09180, 700266
301.10707, 398698
303.08632, 474985
303.10745, 206633
303.12269, 202473
305.08084, 168648
305.08671, 1012328
305.10194, 422248
305.11720, 176680
307.08126, 281960
307.09649, 340072
307.10236, 5512296
307.10315, 368232
308.10573, 751463
309.07574, 261223
309.09688, 356455
309.11215, 337639
309.11804, 341095
311.09143, 393575
311.11253, 262375
311.12778, 196711
313.07068, 273063
313.09180, 988519
313.10706, 358247
315.08634, 464871
315.10746, 358247
315.12272, 220519
317.08673, 433383
317.10199, 436967
317.11724, 171047
319.08122, 359399
319.09648, 263143
319.10234, 345959
319.11760, 274215
321.07576, 157639
321.09691, 551911
321.11216, 296231
323.09142, 321064
323.09728, 1370728
323.11255, 397800
323.12778, 220456
324.10063, 171528
324.60933, 185128
324.61196, 304616
325.11293, 38255720
326.11627, 4914281
327.08630, 320745
327.10741, 402537
327.11715, 781417
327.11964, 268905
327.12266, 284777
327.12855, 291817
328.15539, 258473
329.08672, 248298
329.10197, 361962
329.12311, 178346
329.13834, 184746
331.08126, 427371
331.09652, 248811
331.10238, 1468523
331.11763, 271787
332.10574, 224299
333.07575, 169836
333.09688, 602348
333.11212, 303980
333.11800, 255212
333.13327, 178860
335.09144, 332653
335.09730, 1033581
335.11256, 528749
335.12781, 276909
337.09181, 766318
337.10708, 421230
337.11295, 272238
337.12821, 256110
338.34175, 201839
339.08628, 241327
339.10741, 635119
339.12270, 319407
341.10197, 308529
341.12310, 315825
341.13836, 183729
342.13949, 3675250
342.14048, 247410
343.08125, 204467
343.10237, 605043
343.11762, 320819
343.14284, 478323
345.09691, 364788
345.11215, 290484
345.11803, 289460
345.13326, 193204
347.09145, 282678
347.09491, 220662
347.09730, 273526
347.11258, 360950
347.12782, 229430
349.09180, 656504
349.10708, 409848
349.11293, 1214328
349.12819, 230136
349.14343, 182904
351.08632, 269114
351.10748, 826746
351.12273, 335610
351.12859, 172922
353.10201, 311548
353.10785, 179644
353.12311, 467708
353.13835, 195388
355.10233, 849023
355.11758, 329087
356.10570, 165312
357.09684, 182465
357.11212, 202113
357.11799, 499457
357.13328, 270849
359.09139, 179779
359.11252, 269379
359.12779, 243203
359.13367, 178243
361.09178, 342150
361.10705, 298246
361.11292, 542598
361.12818, 220166
361.14343, 168070
363.08631, 205833
363.10743, 477961
363.12269, 304009
363.12856, 196105
365.10201, 329740
365.10786, 307596
365.12312, 324492
365.13835, 243596
367.10236, 1154191
367.11762, 340494
367.12349, 1646735
368.10575, 203344
368.12685, 266256
369.09688, 182289
369.11800, 761490
369.13327, 260754
369.35159, 336786
371.11256, 301077
371.12782, 195029
371.13369, 381845
371.14894, 180757
371.31559, 1036181
372.31895, 258455
373.10705, 269080
373.11290, 1357976
373.12816, 257048
374.11316, 228698
374.11640, 284506
375.10743, 207643
375.12270, 271195
375.12857, 617115
377.10199, 284511
377.10784, 214047
377.12309, 259103
377.13836, 214687
379.10240, 764066
379.11767, 338466
379.12352, 477730
379.15405, 160674
381.09694, 218918
381.11808, 659878
381.13334, 298022
383.09733, 178986
383.11259, 330922
383.11844, 165226
383.12785, 171370
383.13370, 291114
383.14897, 184810
385.10709, 200366
385.11298, 1739438
385.12824, 313646
385.13410, 265966
385.14350, 164718
387.10744, 204402
387.12271, 264370
387.12858, 1048754
387.14385, 205106
388.13196, 166580
389.10196, 226422
389.10782, 177782
389.12309, 290742
389.13834, 216054
389.14421, 311350
391.11768, 299962
391.12354, 1726650
391.13879, 211194
392.12683, 299580
393.09688, 179838
393.11801, 248958
393.13327, 257982
393.13914, 511678
395.11251, 272323
395.11841, 169411
395.13367, 204355
395.14891, 168643
397.11295, 1478343
397.12822, 278279
397.13408, 266247
399.10750, 228940
399.12277, 257804
399.12864, 805580
399.14390, 223756
400.13193, 169614
401.10194, 169616
401.10783, 261392
401.12308, 295504
401.13838, 216976
401.14423, 298576
401.15946, 175440
401.28977, 424401
403.12346, 9612501
403.13873, 259413
404.12688, 1793752
405.11806, 218074
405.12779, 238874
405.13022, 170394
405.13329, 253146
405.13917, 2410714
405.14057, 167898
405.15443, 160282
406.14253, 470236
407.11259, 247711
407.11845, 252255
407.13371, 244575
407.14897, 194335
407.15482, 284383
409.11296, 192356
409.12819, 267236
409.13407, 1333988
410.13286, 198887
411.10748, 185961
411.12273, 198121
411.12859, 267817
411.14385, 210473
413.10787, 372718
413.12314, 286062
413.13838, 199215
413.14427, 198383
414.12601, 166833
415.11778, 227444
415.12354, 4063476
415.13879, 271220
416.12685, 691703
417.11805, 239481
417.13337, 292537
417.13918, 3321081
417.14064, 224505
418.14250, 658172
419.11253, 190591
419.11839, 392319
419.13365, 281471
419.14893, 209279
419.15477, 407423
420.15000, 167490
421.11290, 174852
421.12827, 224389
421.13402, 5881093
421.14926, 203845
422.11123, 188295
422.13738, 1076999
422.14189, 183559
423.10751, 167818
423.12863, 280202
423.13837, 157962
423.14387, 214602
423.14973, 844298
425.12313, 263376
425.13840, 194960
425.14426, 190288
427.11759, 202902
427.12345, 326934
427.13869, 217942
427.14459, 1008662
428.14798, 173721
429.11804, 286876
429.13330, 244636
429.13917, 451868
429.15440, 210396
431.11841, 614434
431.13368, 322978
431.14891, 213538
431.15480, 287266
432.12623, 168101
432.80741, 162471
433.11297, 163560
433.13410, 8428840
433.14934, 229928
434.13742, 1527596
435.12862, 266799
435.13835, 208111
435.14381, 197359
435.14972, 1353519
436.15312, 273842
437.12301, 160117
437.12894, 903733
437.14417, 216757
437.15942, 165941
437.16530, 170997
438.13234, 190904
439.12354, 329915
439.13878, 211259
439.14467, 2901307
439.14629, 194363
440.14794, 509759
441.11808, 179138
441.13331, 203778
441.13919, 343106
441.15446, 167618
443.11842, 159688
443.13368, 261192
443.14893, 190600
443.15478, 266888
445.11292, 167887
445.12820, 186447
445.13406, 703311
445.14931, 223567
446.11016, 474194
446.11515, 204498
447.12855, 283221
447.14386, 184341
447.14969, 506709
449.12896, 1543516
449.14419, 255708
450.13684, 449759
450.14133, 236575
451.12352, 193827
451.14464, 6784355
451.15989, 161507
452.14796, 1310566
453.13330, 180265
453.13914, 293097
453.14892, 178729
453.16029, 1796457
454.16363, 376813
455.13364, 181040
455.14890, 172336
455.15475, 269808
457.12824, 184055
457.13408, 686455
457.14941, 194871
457.15522, 973175
458.13083, 450810
458.15855, 177210
459.12852, 217853
459.14381, 179326
459.14965, 567934
461.12898, 243140
461.14423, 247428
461.16537, 250884
463.12356, 264971
463.13884, 203915
463.14468, 704139
463.15992, 166667
465.13920, 346258
465.15447, 179218
465.16030, 303506
467.13951, 1535385
467.15477, 312345
468.14290, 312860
469.13402, 394271
469.15516, 9768351
470.15856, 1993123
471.14396, 164902
471.14981, 441510
471.15951, 326054
471.16198, 162982
471.17093, 382246
473.12898, 173741
473.14418, 177005
473.15945, 158509
473.16534, 287149
474.14012, 199600
475.12358, 177076
475.13890, 192692
475.14468, 1047988
476.14793, 215287
477.13916, 278970
477.15443, 178874
477.16030, 487611
479.13952, 368961
479.15474, 268737
481.13408, 509384
481.14937, 187464
481.15521, 725960
481.17044, 188488
482.12961, 925131
482.13535, 404427
483.14969, 669903
485.16539, 425557
487.14467, 504540
487.16577, 17513948
488.16901, 3190239
488.17106, 286687
489.13910, 187426
489.16025, 440802
489.16993, 559074
489.17244, 296290
489.18136, 187170
491.13962, 264297
491.15493, 191273
491.17596, 166761
493.13408, 342895
493.15519, 1175535
494.15020, 398706
494.15852, 290290
495.14966, 522229
495.17082, 323702
497.14431, 162236
497.15014, 401148
497.16538, 529148
499.14463, 1997314
499.16576, 599298
499.18103, 184002
500.14803, 465413
501.16031, 993288
503.17588, 315534
504.19231, 620305
505.13399, 161492
505.15514, 627220
506.12843, 774167
506.13481, 384535
507.14976, 256922
507.17090, 309274
509.15021, 296864
509.16545, 281504
511.14471, 934182
511.16582, 1763878
511.18110, 168806
512.14806, 250280
512.16913, 331432
513.16039, 884267
513.18148, 284331
515.17604, 455345
517.15527, 1391670
518.15548, 535609
519.17092, 570428
521.16548, 177793
523.14471, 345414
523.16583, 858950
524.16916, 169672
525.16033, 526667
525.18144, 207499
527.13952, 183567
527.16068, 308687
527.17593, 315983
529.15521, 1985108
529.17634, 1823828
529.19158, 160916
530.16948, 208342
531.17084, 868953
532.17415, 200731
533.18640, 319453
535.16572, 1064033
536.16914, 252643
537.16044, 204005
537.18153, 547173
539.16063, 171817
539.17592, 222121
541.15514, 736109
541.17631, 375789
542.14761, 2174575
542.15500, 1087599
543.17083, 569969
544.15430, 281330
545.15016, 277236
545.18651, 258164
547.16576, 1966711
547.18690, 500599
548.16910, 444025
549.18138, 862587
551.17599, 185341
551.19712, 244221
553.15531, 180288
553.17640, 1220736
553.19163, 158336
555.17072, 244483
555.19187, 214979
557.15018, 187973
557.18655, 196613
559.16573, 1081480
560.16911, 294281
561.18144, 620938
563.16065, 230668
563.17588, 167436
563.19706, 195020
565.17635, 3573390
565.17905, 251022
566.17979, 883087
567.17097, 189968
567.19209, 898960
568.19529, 210321
569.18657, 187090
571.16580, 262164
571.18693, 617108
573.18140, 240790
575.16066, 252824
577.17631, 2175643
577.17914, 162970
578.16673, 2088604
578.17510, 1098396
578.17961, 554652
579.17077, 189533
579.19192, 849821
580.19519, 218206
581.17129, 165983
581.18655, 197663
583.16563, 176609
583.18678, 7646881
584.19020, 1988258
585.18143, 206435
585.19129, 305316
585.20254, 342692
589.17626, 344873
589.19738, 701865
591.17094, 168107
591.19203, 272939
593.17122, 326446
593.18648, 212334
595.16581, 182706
595.18688, 2550450
595.18987, 177842
596.19027, 653491
597.18156, 232117
597.20268, 682165
599.19720, 187960
601.17618, 295612
601.19734, 604348
603.19196, 210304
607.16574, 159369
607.18691, 542409
609.18128, 209870
609.20239, 211534
611.18177, 499411
611.19696, 179795
613.17650, 204057
613.19756, 2928345
614.19512, 740316
614.20082, 682716
615.19203, 182175
615.21310, 597471
616.19217, 187426
619.18688, 387180
619.20802, 573676
621.20244, 251379
623.19715, 158394
625.17647, 264322
625.19757, 609794
627.19203, 238347
629.19243, 538900
629.20769, 163412
631.18690, 258845
631.20794, 4017949
631.21129, 275741
632.21151, 1103138
633.20254, 184935
633.21207, 179239
633.22366, 225383
637.17621, 170620
637.19743, 450108
639.19197, 196743
639.21309, 221320
643.18698, 341344
643.20807, 328928
645.20245, 293485
647.21833, 161083
649.21863, 16482186
650.20133, 1500049
650.20461, 9473937
650.21518, 5257105
650.22202, 4278161
650.22561, 932753
651.21330, 207001
651.22269, 688025
651.22559, 489113
652.22175, 686497
652.22626, 192417
655.18688, 274617
655.20801, 570041
657.20254, 251210
659.21835, 167324
661.19746, 622830
661.21857, 254575
663.21299, 334082
663.45377, 207428
667.20801, 292011
673.19743, 476782
673.21852, 819055
675.21319, 338695
677.22883, 183200
679.20806, 482234
681.22367, 214229
684.25561, 849663
684.26737, 435199
685.19751, 180172
685.21859, 269324
687.21312, 194345
691.20807, 650086
691.22921, 910694
692.21127, 208693
692.23241, 222454
693.22373, 358533
697.21842, 410950
699.23408, 194023
703.20799, 298155
705.22373, 250319
709.21840, 652695
709.23955, 833687
711.23422, 296636
715.22909, 361990
721.21855, 394746
723.23421, 235170
727.22906, 1804274
728.23245, 589574
729.24488, 389019
733.23970, 281708
734.23331, 236801
739.22898, 685033
740.23255, 258046
741.24482, 324372
742.60374, 257329
745.23953, 1097065
746.24300, 407166
751.25025, 375401
757.23960, 982122
759.25553, 261270
763.25011, 168684
769.23983, 223085
773.23442, 172739
775.25049, 1001966
776.25338, 293508
777.26579, 173849
781.26080, 194670
787.24998, 211627
793.26082, 1566054
799.25026, 172510
806.23026, 1550438
808.23694, 259212
810.26152, 383922
811.27152, 5712582
812.27458, 1762008
813.27462, 221035
813.27898, 184811
817.26077, 220470
823.25060, 174438
830.22942, 595244
834.26036, 505979
835.25034, 186062
835.27149, 363791
842.24977, 929565
853.26118, 199505
853.28215, 411921
866.24903, 1354583
868.25564, 239246
871.27132, 267491
871.29247, 370660
878.26983, 461751
889.28177, 668207
890.28585, 293204
891.29788, 173946
898.23719, 278668
901.28210, 249228
902.26852, 1074231
904.27512, 233616
906.29940, 311660
907.29232, 331418
919.29268, 352376
937.30289, 316867
938.28794, 1689606
940.29458, 337167
955.31332, 450529
956.31651, 173103
973.32418, 1298585
974.30734, 3028716
976.31380, 597399
