m/z, I
131.04914, 465608
133.06479, 137965
137.05971, 525908
145.04953, 123420
145.06480, 101168
147.04405, 293912
147.08044, 135032
149.05970, 353065
149.09610, 102045
150.06754, 131417
151.03896, 239288
151.07536, 758472
152.07871, 92284
153.05462, 300920
153.09101, 87992
159.08045, 128141
161.05970, 625667
161.09609, 135755
162.06753, 136082
163.03897, 155080
163.07534, 2330977
164.07871, 283071
164.08318, 224863
165.05461, 219150
165.06989, 92834
165.09102, 486206
167.07028, 412314
169.04953, 82926
169.06478, 75006
171.08044, 74242
173.05971, 130125
173.09609, 101165
175.07536, 473639
175.11175, 139655
176.07872, 73412
177.05462, 361761
177.09102, 427553
178.06244, 86718
179.07026, 3496634
179.10667, 85394
180.07362, 345975
180.07809, 234983
181.06480, 85275
181.08592, 247891
185.05971, 74835
187.06010, 278683
187.07536, 254171
187.11177, 71995
189.05463, 104738
189.09101, 423186
191.07026, 415048
191.10666, 232936
193.04953, 119279
193.08593, 639038
194.08927, 86937
195.06518, 84820
195.08044, 70796
195.10158, 101700
197.05972, 126346
197.08082, 99674
199.07536, 163439
201.05462, 86836
201.09101, 230324
203.07028, 298921
203.10666, 285032
204.07811, 82003
205.07066, 108445
205.08592, 682045
205.12231, 75021
206.08928, 98135
207.06517, 103425
207.10157, 270097
209.08083, 136789
209.18999, 325732
211.07536, 145240
213.05465, 92380
213.09102, 183820
215.07028, 229567
215.10667, 171231
217.08593, 384178
217.12231, 99586
218.08929, 67788
219.06519, 149893
219.10158, 628965
220.10492, 84239
221.08084, 225912
221.11724, 90792
223.07537, 80267
223.09648, 106539
225.09103, 199934
227.07028, 176209
227.10668, 199216
229.07068, 83683
229.08594, 339619
229.12232, 111859
231.06520, 106630
231.10158, 343446
231.13796, 71141
233.08084, 336969
233.11722, 177800
235.09650, 175163
237.09104, 101742
237.22128, 92253
239.07028, 91841
239.10668, 160929
239.23692, 199584
241.08594, 361044
241.12233, 127955
242.08928, 69261
242.09374, 132749
243.06521, 117767
243.10158, 416583
244.10496, 76400
245.08084, 198074
245.11722, 238106
247.09649, 253613
247.13289, 85629
249.09102, 79425
249.11214, 123169
251.07029, 77716
251.10668, 97892
253.08594, 292424
253.12232, 121000
254.09376, 96578
255.06519, 96701
255.10160, 496892
255.13798, 87292
255.23184, 136988
256.10494, 76790
256.10941, 108646
257.08084, 369969
257.11724, 394993
257.24692, 149744
257.24749, 2091248
257.24804, 141424
258.08866, 79531
258.12062, 69147
258.25084, 376170
259.06010, 69366
259.09647, 537061
259.13291, 145829
260.09985, 105040
260.10434, 76704
261.11212, 343770
262.09506, 79685
262.09665, 177653
262.11549, 67525
263.09140, 92703
263.10668, 81135
263.12780, 73007
265.08596, 140133
265.12234, 92757
265.25258, 85988
267.10158, 299771
267.13800, 70219
267.26822, 113978
268.10941, 125590
269.08085, 273329
269.11726, 517041
270.08869, 158637
270.12058, 82108
271.06007, 72088
271.09649, 928936
271.13291, 260520
271.26313, 201671
272.09987, 182307
272.10432, 2985635
273.10767, 497055
273.11152, 150175
273.11214, 2192543
273.11277, 148639
274.11547, 354203
274.11765, 177819
275.09141, 207446
275.12780, 285910
277.08591, 96942
277.10702, 153070
279.10158, 238471
280.10942, 78227
281.08084, 165216
281.11724, 358080
282.08868, 79836
282.12061, 76924
282.12507, 90316
283.09650, 598009
283.13289, 335353
283.26314, 153849
284.09986, 120214
284.10431, 790902
285.07575, 127827
285.10768, 152467
285.11144, 140147
285.11213, 2084979
285.11282, 139123
285.14855, 135507
285.27878, 985202
286.11549, 395760
286.11996, 472560
286.28214, 195248
287.05500, 163854
287.09140, 241901
287.12335, 94733
287.12780, 853869
288.13117, 158827
289.07065, 100873
289.09181, 69224
289.10704, 814184
289.14348, 160328
290.11039, 139014
291.10160, 133444
291.12269, 90884
293.08085, 128448
293.11722, 220192
294.08413, 68511
294.08608, 89711
295.09651, 319837
295.11759, 94477
295.13290, 273053
296.10434, 215580
297.11217, 1157979
297.14854, 213211
298.11550, 232794
298.11732, 97018
298.11997, 739546
299.09142, 311065
299.12334, 136889
299.12705, 136025
299.12780, 2008665
299.12855, 138969
299.20056, 136505
300.09922, 178776
300.13118, 366424
300.13564, 211096
301.10629, 75800
301.10705, 1112664
301.10781, 81752
301.14347, 502232
302.07580, 69863
302.11041, 190935
302.11488, 134839
302.14662, 188663
302.14858, 216535
303.04990, 307287
303.12270, 367319
303.15912, 85783
303.23185, 67863
305.06556, 296663
305.10194, 85367
305.11724, 135735
306.10706, 80791
307.09651, 326232
307.11760, 109400
307.13288, 167064
308.10433, 135416
309.07576, 77545
309.11216, 878681
309.14857, 171673
310.11549, 171610
310.11995, 488666
311.09143, 279195
311.12335, 120827
311.12778, 2275419
311.12861, 155611
312.09922, 193820
312.13115, 483164
312.13561, 643036
313.10705, 1015901
313.13899, 135965
313.14263, 90973
313.14345, 1324125
313.14426, 90013
314.11039, 184158
314.11486, 269982
314.14681, 271838
315.12186, 91936
315.12269, 1351776
315.12353, 91616
315.15909, 221664
315.19545, 173440
316.12603, 257954
316.13050, 89778
317.10199, 103299
317.11728, 81795
317.13837, 302819
317.21110, 100772
319.09648, 108199
319.13291, 128999
320.10434, 71786
321.11217, 518380
321.14857, 122412
322.11460, 122254
322.11548, 113262
322.11697, 162478
322.11996, 186414
323.09144, 232305
323.11253, 86289
323.12691, 91633
323.12779, 1270129
323.12867, 86065
323.16419, 89233
324.09922, 114611
324.13112, 260468
324.13557, 383092
325.10617, 80822
325.10706, 1114998
325.10795, 83958
325.11292, 102518
325.12815, 76422
325.14255, 124918
325.14345, 1674870
325.14432, 112118
326.11041, 245433
326.11486, 767097
326.14501, 179641
326.14574, 316281
326.14684, 337657
326.14818, 584697
326.15124, 182521
327.08631, 71852
327.11823, 158684
327.12266, 3222652
327.15908, 946812
328.12605, 678015
328.13052, 742527
328.15487, 74159
328.16244, 218560
329.10195, 279235
329.12938, 71267
329.13389, 147715
329.13834, 2321539
329.17474, 91491
330.10980, 68342
330.14171, 482054
330.14616, 336646
330.17696, 105350
330.17947, 126566
331.09652, 70505
331.10235, 73033
331.11761, 387849
331.13291, 107721
331.14952, 90506
331.15399, 676490
331.19036, 73946
