Exp m/z,Flag,Index,Class,DBE,Neutral DBE,Formula,Adduct,Mono Abund,Total Abund,Calc m/z,mDa Error,ppm Error,Kendrick m/z,KMD,Z Number,#C,#H,#N,#O,#S,H/C,N/C,O/C,S/C
259.08124,+,676,O7,4.5,5,C11H14O7,H,810748,907205.13,259.081229,-0.0107,-0.0415,258.7919,0.2081,-8,11,14,0,7,0,1.2727,0,0.6364,0
271.08122,+,679,O7,5.5,6,C12H14O7,H,3080155,3548013.23,271.081229,0.0093,0.0341,270.7785,0.2215,-10,12,14,0,7,0,1.1667,0,0.5833,0
289.09178,+,359,O8,4.5,5,C12H16O8,H,4624053,5328175.83,289.091794,0.0139,0.0482,288.769,0.231,-8,12,16,0,8,0,1.3333,0,0.6667,0
307.10235,+,456,O9,3.5,4,C12H18O9,H,1234807,1386493,307.102359,0.0086,0.0281,306.7594,0.2406,-6,12,18,0,9,0,1.5,0,0.75,0
325.11298,+,1,O10,2.5,3,C12H20O10,H,68454480,79274351.25,325.112923,-0.0567,-0.1744,324.75,0.25,-4,12,20,0,10,0,1.6667,0,0.8333,0
331.08124,+,700,O7,10.5,11,C17H14O7,H,644342,752510,331.081229,-0.0107,-0.0325,330.7116,0.2884,-20,17,14,0,7,0,0.8235,0,0.4118,0
331.10236,+,463,O9,5.5,6,C14H18O9,H,1776118,2073071.2,331.102359,-0.0014,-0.0041,330.7326,0.2674,-10,14,18,0,9,0,1.2857,0,0.6429,0
333.0969,+,697,O7,9.5,10,C17H16O7,H,676699,801121.88,333.096879,-0.0207,-0.0621,332.725,0.275,-18,17,16,0,7,0,0.9412,0,0.4118,0
335.09725,+,7,O10,4.5,5,C13H18O10,H,1721793,1956149,335.097273,0.0233,0.0694,334.7231,0.2769,-8,13,18,0,10,0,1.3846,0,0.7692,0
337.09183,+,380,O8,8.5,9,C16H16O8,H,1334696,1587609.69,337.091794,-0.0361,-0.107,336.7154,0.2846,-16,16,16,0,8,0,1,0,0.5,0
337.11296,+,4,O10,3.5,4,C13H20O10,H,915367,1044071.69,337.112923,-0.0367,-0.1088,336.7365,0.2635,-6,13,20,0,10,0,1.5385,0,0.7692,0
339.10747,+,377,O8,7.5,8,C16H18O8,H,750863,877491,339.107444,-0.026,-0.0767,338.7288,0.2712,-14,16,18,0,8,0,1.125,0,0.5,0
342.13948,+,1019,NO10,1.5,2,C12H23NO10,H,8896366,10193997.76,342.139472,0.0076,0.0222,341.7574,0.2426,-1,12,23,1,10,0,1.9167,0.0833,0.8333,0
343.10237,+,469,O9,6.5,7,C15H18O9,H,979299,1138176.48,343.102359,-0.0114,-0.0331,342.7193,0.2807,-12,15,18,0,9,0,1.2,0,0.6,0
349.09182,+,384,O8,9.5,10,C17H16O8,H,1234476,1452687,349.091794,-0.0261,-0.0746,348.702,0.298,-18,17,16,0,8,0,0.9412,0,0.4706,0
349.11295,+,8,O10,4.5,5,C14H20O10,H,1548075,1799058.84,349.112923,-0.0267,-0.0764,348.7231,0.2769,-8,14,20,0,10,0,1.4286,0,0.7143,0
351.10743,+,381,O8,8.5,9,C17H18O8,H,959004,1135333.56,351.107444,0.014,0.0399,350.7154,0.2846,-16,17,18,0,8,0,1.0588,0,0.4706,0
